JobID,JobTitle,Company,LocationCity,LocationState,Latitude,Longitude,PrimarySkill,AdditionalSkills,ExperienceLevel,Salary,DatePosted,Remote
JEX01,Data Scientist,Google,Mountain View,CA,37.3861,-122.0839,Machine Learning,"Python, SQL",Senior,150000,2024-09-12,No
JEX02,Machine Learning Engineer,Amazon,Seattle,WA,47.6062,-122.3321,Machine Learning,"AWS, Python",Mid,135000,2024-08-04,No
JEX03,Cloud Architect,Microsoft,Redmond,WA,47.673988,-122.121513,Azure,"Azure, SQL",Senior,140000,2024-07-20,No
JEX04,Data Engineer,AWS,Austin,TX,30.2672,-97.7431,Python,"AWS, SQL",Mid,120000,2024-06-15,Yes
J0001,Cloud Engineer (AWS),Google,Los Angeles,CA,34.0522,-118.2437,AWS,Other,Senior,144000,2024-05-20,No
J0002,Data Engineer,Microsoft,Los Angeles,CA,34.0522,-118.2437,Python,"Machine Learning, AWS, Java",Mid,123000,2024-02-22,Yes
J0003,Frontend Developer,DataWorks,Boston,MA,42.3601,-71.0589,Other,Java,Senior,105000,2024-01-17,No
J0004,Java Developer,Meta,Redmond,WA,47.673988,-122.121513,Java,"AWS, Python",Entry,69000,2024-09-15,No
J0005,Python Developer,StartupX,Redmond,WA,47.673988,-122.121513,Python,"Azure, Other",Entry,75000,2024-10-06,Yes
J0006,Data Scientist,Netflix,Dallas,TX,32.7767,-96.797,Machine Learning,AWS,Mid,108000,2024-05-22,No
J0007,Cloud Engineer (Azure),FintechCo,Boston,MA,42.3601,-71.0589,Azure,"SQL, Java",Mid,82000,2024-06-23,Yes
J0008,SQL Developer,Meta,Austin,TX,30.2672,-97.7431,SQL,Machine Learning,Mid,104000,2024-02-22,No
J0009,Back-end Engineer,Amazon,Austin,TX,30.2672,-97.7431,Python,"SQL, Azure",Senior,152000,2024-06-25,Yes
J0010,Research Scientist,RetailCorp,Mountain View,CA,37.3861,-122.0839,Machine Learning,SQL,Entry,84000,2024-08-23,No
J0011,Frontend Developer,DeepVision,Boston,MA,42.3601,-71.0589,Other,"SQL, Java",Mid,78000,2024-02-10,No
J0012,Product Analyst,HealthAI,Raleigh,NC,35.7796,-78.6382,Other,"Python, Java",Mid,74000,2024-07-04,No
J0013,Data Engineer,FintechCo,Seattle,WA,47.6062,-122.3321,Python,"AWS, Other",Senior,135000,2024-01-24,No
J0014,Cloud Engineer (Azure),RetailCorp,San Francisco,CA,37.7749,-122.4194,Azure,Java,Senior,134000,2024-02-10,No
J0015,Java Developer,Salesforce,San Francisco,CA,37.7749,-122.4194,Java,"Python, Other",Senior,128000,2024-08-20,No
J0016,Software Engineer,Microsoft,Austin,TX,30.2672,-97.7431,Java,Azure,Mid,109000,2024-06-30,No
J0017,Cloud Architect,FintechCo,Raleigh,NC,35.7796,-78.6382,AWS,"SQL, Other",Entry,81000,2024-02-06,Yes
J0018,Data Engineer,StartupX,Los Angeles,CA,34.0522,-118.2437,Python,SQL,Mid,117000,2024-05-05,Yes
J0019,Back-end Engineer,Salesforce,San Francisco,CA,37.7749,-122.4194,Python,Machine Learning,Entry,70000,2024-10-12,No
J0020,Data Analyst,HealthAI,Mountain View,CA,37.3861,-122.0839,SQL,AWS,Mid,103000,2024-04-27,Yes
J0021,Product Analyst,Salesforce,San Francisco,CA,37.7749,-122.4194,Other,SQL,Mid,90000,2024-02-03,No
J0022,Backend Developer,DeepVision,Los Angeles,CA,34.0522,-118.2437,Java,Machine Learning,Senior,134000,2024-06-10,Yes
J0023,Site Reliability Engineer,Salesforce,Raleigh,NC,35.7796,-78.6382,AWS,Python,Senior,128000,2024-08-22,No
J0024,Data Analyst,Microsoft,Redmond,WA,47.673988,-122.121513,Python,"Machine Learning, Azure",Entry,77000,2024-10-14,No
J0025,Data Analyst,FintechCo,Dallas,TX,32.7767,-96.797,SQL,"AWS, Python",Entry,61000,2024-08-07,No
J0026,Support Engineer,Apple,Redmond,WA,47.673988,-122.121513,Other,"Python, Machine Learning",Entry,76000,2024-03-11,Yes
J0027,BI Developer,Amazon,Mountain View,CA,37.3861,-122.0839,SQL,Java,Entry,74000,2024-02-26,No
J0028,Data Engineer,RetailCorp,Raleigh,NC,35.7796,-78.6382,Python,"SQL, Machine Learning, Azure",Mid,119000,2024-08-04,Yes
J0029,Cloud Engineer (AWS),Salesforce,Boston,MA,42.3601,-71.0589,AWS,"SQL, Other, Azure",Mid,108000,2024-08-27,No
J0030,Product Analyst,StartupX,Mountain View,CA,37.3861,-122.0839,Other,"Azure, Java",Entry,71000,2024-02-28,No
J0031,Backend Developer,RetailCorp,San Francisco,CA,37.7749,-122.4194,Java,,Mid,92000,2024-06-23,No
J0032,Data Analyst,Salesforce,New York,NY,40.7128,-74.006,SQL,,Entry,65000,2024-08-20,No
J0033,Data Analyst,StartupX,New York,NY,40.7128,-74.006,SQL,Other,Mid,99000,2024-09-16,No
J0034,Data Analyst,HealthAI,Raleigh,NC,35.7796,-78.6382,Python,"SQL, Other",Entry,73000,2024-09-16,No
J0035,Cloud Engineer (Azure),Microsoft,Austin,TX,30.2672,-97.7431,Azure,"Python, Machine Learning",Entry,61000,2024-03-23,No
J0036,Frontend Developer,DataWorks,Austin,TX,30.2672,-97.7431,Other,Python,Entry,62000,2024-09-07,No
J0037,Cloud Engineer (Azure),DeepVision,Austin,TX,30.2672,-97.7431,Azure,Machine Learning,Senior,130000,2024-06-06,Yes
J0038,Python Developer,Meta,Dallas,TX,32.7767,-96.797,Python,Machine Learning,Senior,147000,2024-02-10,No
J0039,Site Reliability Engineer,HealthAI,Seattle,WA,47.6062,-122.3321,AWS,,Senior,135000,2024-09-29,No
J0040,SQL Developer,CloudLabs,Chicago,IL,41.8781,-87.6298,SQL,Python,Mid,80000,2024-10-08,No
J0041,Data Analyst,StartupX,Dallas,TX,32.7767,-96.797,Python,,Entry,85000,2024-08-04,No
J0042,Data Scientist,FintechCo,San Francisco,CA,37.7749,-122.4194,Machine Learning,Azure,Mid,140000,2024-07-23,No
J0043,Cloud Architect,Netflix,Denver,CO,39.7392,-104.9903,AWS,Azure,Senior,150000,2024-08-19,No
J0044,Java Developer,Meta,Seattle,WA,47.6062,-122.3321,Java,Machine Learning,Senior,136000,2024-06-22,No
J0045,SQL Developer,DataWorks,Redmond,WA,47.673988,-122.121513,SQL,Machine Learning,Entry,63000,2024-01-04,No
J0046,Database Administrator,Meta,Seattle,WA,47.6062,-122.3321,SQL,"Python, Machine Learning",Senior,128000,2024-01-17,No
J0047,Database Administrator,StartupX,Redmond,WA,47.673988,-122.121513,SQL,"Java, Machine Learning, Other",Mid,98000,2024-05-22,No
J0048,Support Engineer,Meta,Denver,CO,39.7392,-104.9903,Other,"SQL, Python",Entry,61000,2024-03-08,No
J0049,Cloud Architect,DataWorks,Chicago,IL,41.8781,-87.6298,Azure,Other,Mid,100000,2024-05-04,Yes
